Code,Abbrev,16.apr,16.aug,16.dec,16.feb,16.jan,16.jul,16.jun,16.mar,16.may,16.nov,16.oct,16.sep,17.apr,17.aug,17.dec,17.feb,17.jan,17.jul,17.jun,17.mar,17.may,17.nov,17.oct,17.sep,18.apr,18.aug,18.dec,18.feb,18.jan,18.jul,18.jun,18.mar,18.may,18.nov,18.oct,18.sep,19.apr,19.aug,19.dec,19.feb,19.jan,19.jul,19.jun,19.mar,19.may,19.nov,19.oct,19.sep,20.apr,20.feb,20.jan,20.mar,20.may
GA,Ga.,10526,10775,9278,9168,9820,10191,11066,9331,10551,10257,9301,10126,10755,10801,9461,9571,10089,10396,11335,9454,10704,10392,9298,10301,10782,10588,9360,9708,10164,10202,11138,9294,10600,10768,9521,10125,10680,11044,10087,9869,10081,10240,11442,9283,10924,11462,9972,10353,9188,10785,11421,9808,7104
HI,Hawaii,941,1047,839,971,826,981,761,820,1037,1176,1113,1067,843,939,773,870,773,868,702,728,923,1087,1019,991,853,980,868,892,796,891,715,740,945,1136,1115,1092,863,1011,811,964,856,896,724,760,981,1168,1142,1118,677,903,830,754,490
ID,Idaho,1416,1706,1406,1238,1260,1622,1549,1232,1461,1508,1570,1715,1411,1711,1415,1189,1234,1617,1561,1188,1443,1538,1553,1729,1431,1758,1399,1279,1358,1637,1571,1247,1441,1602,1560,1731,1436,1780,1383,1301,1369,1630,1554,1255,1508,1584,1599,1714,1191,1298,1372,1275,990
IL,Ill.,8935,9295,8198,7907,8337,10765,9607,8347,9602,9814,9049,9452,8761,9052,7978,7752,8078,10603,9508,8468,9314,9514,8884,9374,8587,9212,7746,7987,8435,10250,9640,7896,9379,9757,8609,9369,8578,9506,7942,7750,8332,10221,9538,7883,9705,9751,8681,9371,6859,8288,8390,8179,5805
IN,Ind.,6412,8139,6732,6178,7058,6955,6983,5481,7200,8092,6956,7128,6122,7840,6441,6286,6855,6745,6822,5239,6865,7253,6786,6983,6132,8394,6673,6316,7197,6906,7292,5255,7106,7832,6871,7399,6079,8223,6381,6338,7347,6630,7046,5070,7165,7528,6879,7198,4909,6630,7138,5121,4315
IA,Iowa,2625,2885,2537,2299,2439,2999,2958,2130,2776,2933,2805,2921,2763,3051,2674,2391,2584,3202,3147,2338,2908,3077,2962,3078,2659,3126,2534,2397,2634,3068,3100,2170,2750,3084,2870,3036,2653,3162,2533,2296,2598,3037,3073,2025,2900,3097,2884,3065,2304,2352,2643,2301,2092
KS,Kans.,2626,2833,2679,2334,2787,2827,2732,2417,2704,2699,2643,2857,2638,2860,2688,2308,2747,2891,2800,2457,2689,2720,2682,2946,2701,2937,2527,2409,2912,2915,2934,2286,2732,2783,2695,3026,2641,2946,2599,2404,2929,2820,2793,2192,2883,2783,2649,2897,2190,2410,2842,2466,1801
KY,Ky.,4171,3887,4100,3728,4045,4514,4347,3341,4490,4344,4165,4396,4235,3871,4153,3933,3999,4600,4427,3497,4507,4370,4164,4555,3969,3875,4026,3962,4069,4443,4506,3093,4433,4373,4027,4443,3896,3962,4082,4074,4028,4366,4455,3000,4535,4451,4145,4416,3289,4259,4235,3125,2961
LA,La.,4053,4348,3743,3942,4003,4520,4282,3499,4159,4056,3924,4705,4130,4415,3722,3936,4151,4325,4205,3426,4038,3730,3683,4410,4291,4744,3532,3700,3929,4383,4301,3281,3920,3808,3711,4746,3840,4618,3798,3804,3955,4449,4262,2971,3986,4182,3971,4950,3412,3677,4156,3327,2672
ME,Maine,1259,1406,1185,1121,1175,1367,1302,1068,1199,1314,1283,1334,1242,1419,1199,1143,1166,1392,1318,1015,1189,1322,1262,1366,1189,1413,1138,1052,1191,1337,1350,1015,1161,1311,1228,1355,1230,1414,1170,1063,1217,1284,1316,1060,1178,1294,1235,1337,1014,1107,1152,1008,718
